	Circular economy	Sustainability	Recycling	Environmental sustainability	Life cycle assessment	Waste management	Plastic waste	Wastewater	Resource recovery	industrial ecology	Industry 4.0	Anaerobic digestion	Material flow analysis	Waste	Biomass	Reuse	Bioeconomy	Municipal solid waste	Business model	Remanufacturing	Food waste	Construction	Renewable energy	Biorefinery	Agriculture	Wastewater treatment	Composting	Pyrolysis	Nutrient recovery	Circular business models	Climate change	Biochar	Adsorption	Resource efficiency	Sustainable development goals	Biogas	Industrial symbiosis	Waste valorization	Bibliometric analysis	CO<sub>2</sub> emissions	Waste-to-energy	Innovation	Construction and demolition waste	Food supply chain	by-products	Barriers	Supply chain	End-of-life	Valorization	Biofuels	E-waste	Microalgae	Mechanical properties	Greenhouse gas emissions	Sewage sludge	Bioenergy	Hydrogen	SMEs	Closed-loop supply chain	Critical raw materials	Lithium-ion batteries	WEEE	Reverse logistics	Digitalization	polyphenols	Decision-making	Machine learning	Circular supply chain	Heavy metals	Biodegradable	Systematic literature review	bioactive compounds	COVID-19	Textile waste	Bioplastics	Packaging	Literature review	Product-service system	European Union	Biowaste	China	Chemical recycling	Indicators	Techno-economic analysis	Recovery	Energy	Biopolymers	Carbon footprint	Lignocellulosic biomass	3D printing	antioxidants	Supply chain management	Case study	Additive manufacturing	Upcycling	Electric vehicles	Waste recycling	Policy	Eco-design	Optimization
European Union	112	36	16	24	3	10	4	4	1	3	1	0	1	5	2	1	7	7	1	0	0	0	1	0	2	0	1	0	1	2	4	0	0	2	4	0	1	1	3	1	0	3	1	0	0	2	3	0	0	0	2	0	0	1	0	0	0	8	0	4	3	0	0	1	0	0	1	0	0	0	1	0	2	1	0	2	1	0	0	1	8	0	4	0	0	2	0	0	0	0	0	0	0	0	0	1	0	7	0	0
Biowaste	60	16	4	7	11	10	0	2	4	1	0	11	0	1	3	0	8	7	1	0	10	0	1	7	2	1	8	1	4	0	0	2	4	0	1	10	0	2	0	0	2	0	1	0	4	0	0	0	6	3	1	1	0	4	4	3	1	0	0	0	0	0	0	0	1	4	2	0	3	2	0	0	0	0	3	2	0	0	1	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	1	0	3	0	0	0
China	84	19	7	7	2	5	4	3	0	9	0	0	6	1	1	0	2	4	1	2	0	0	3	0	2	0	0	0	0	1	7	0	0	6	1	1	2	0	2	2	0	1	5	0	0	3	0	0	0	0	2	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	8	0	0	0	2	0	0	0	0	2	0	0	0	1	1	0	0	2	0	1	0	0
Chemical recycling	84	8	6	3	17	3	38	1	0	2	0	1	2	1	1	1	0	1	0	1	0	0	0	0	0	0	2	23	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	3	0	0	1	0	1	1	0	0	4	0	0	1	0	1	1	0	8	0	0	0	0	1	0	0	1	1	3	2	0	0	0	0	0	0	0	5	0	0	1	2	0	0	0	0	0	0	4	0	0	0	0	1
Indicators	113	49	2	8	9	5	1	4	4	3	3	0	1	2	1	1	7	1	0	2	0	2	1	1	1	1	0	0	1	2	0	0	0	3	3	1	1	0	0	0	0	2	2	2	0	3	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	2	0	0	0	0	1	1	0	4	0	2	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Techno-economic analysis	72	19	7	7	40	2	10	2	4	3	0	8	0	2	3	0	4	2	0	0	5	0	0	15	1	2	1	3	2	2	1	4	0	1	1	2	0	1	0	3	3	0	0	0	1	0	1	0	0	4	1	1	0	2	1	2	4	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	5	0	0	1	0	0	1	1	0	1	0	0	0	1	2	0	2	1	2
Recovery	71	11	33	8	3	7	5	6	2	1	0	1	4	7	2	12	1	4	0	1	1	1	1	1	1	0	1	2	3	0	0	1	4	0	0	1	3	3	3	0	1	1	0	0	0	0	1	3	3	2	3	1	0	0	1	0	1	0	0	8	5	2	2	1	1	1	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	1	0	5	0	0	1	0	0	0	1	1	1	1	0	0	0	1
Energy	86	39	6	12	4	9	4	12	6	1	3	6	10	11	8	1	3	2	0	1	2	3	2	6	3	1	0	2	4	0	3	2	0	0	1	8	4	0	2	3	2	3	1	1	0	0	1	0	5	2	0	0	0	3	3	1	4	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	2	2	0	0	2	0	5	0	1	0	1	0	0	0	0	0	1	1	1	2	0	1
Biopolymers	60	27	5	5	0	2	5	2	2	1	0	2	0	5	6	0	1	0	0	0	1	0	2	9	2	2	5	1	0	0	0	2	1	0	2	0	1	4	0	2	0	0	0	4	1	0	0	0	1	2	0	3	2	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	7	1	0	0	0	1	0	1	0	0	0	1	0	0	5	4	1	0	0	0	1	0	0	0	0	0
Carbon footprint	83	24	13	16	27	5	9	0	4	3	1	1	2	0	2	2	3	0	0	0	2	1	1	3	0	2	1	1	1	0	4	0	0	1	1	3	0	1	0	1	0	0	0	1	0	0	1	1	0	2	1	1	1	5	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	3	2	2	1	0	0	0	0	2	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	2	1
